Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
35,tt5834204,2019-08-01,2019-08-01,,"Рассказ служанки","The Handmaid's Tale",https://www.imdb.com/title/tt5834204/,TV Series,8.3,60,2017,"Drama, Sci-Fi, Thriller",290633,2017-04-28,
36,tt2356777,2015-06-14,2015-06-14,,"Настоящий детектив","True Detective",https://www.imdb.com/title/tt2356777/,TV Series,8.9,60,2014,"Crime, Drama, Mystery, Thriller",726512,2014-01-12,
37,tt2467372,2021-01-24,2021-01-24,,"Бруклин 9-9","Brooklyn Nine-Nine",https://www.imdb.com/title/tt2467372/,TV Series,8.4,22,2013,"Comedy, Crime",404664,2013-09-17,
38,tt1561755,2016-03-27,2016-03-27,,"Закусочная Боба","Bob's Burgers",https://www.imdb.com/title/tt1561755/,TV Series,8.2,22,2011,"Animation, Comedy",100117,2011-01-09,
39,tt1312171,2019-08-01,2019-08-01,,"Академия Амбрелла","The Umbrella Academy",https://www.imdb.com/title/tt1312171/,TV Series,7.8,60,2019,"Action, Adventure, Comedy, Drama, Fantasy, Sci-Fi",309042,2019-02-15,
40,tt4158110,2017-10-13,2017-10-13,,"Мистер Робот","Mr. Robot",https://www.imdb.com/title/tt4158110/,TV Series,8.5,45,2015,"Crime, Drama, Thriller",454566,2015-06-24,
41,tt0979432,2013-03-18,2013-03-18,,"Подпольная империя","Boardwalk Empire",https://www.imdb.com/title/tt0979432/,TV Series,8.6,60,2010,"Crime, Drama",214572,2010-11-08,
42,tt0092455,2013-03-18,2013-03-18,,"Звёздный путь: Следующее поколение","Star Trek: The Next Generation",https://www.imdb.com/title/tt0092455/,TV Series,8.7,45,1987,"Action, Adventure, Drama, Sci-Fi",146430,1987-09-28,
43,tt0063950,2015-06-15,2015-06-15,,"Где ты, Скуби-Ду?","Scooby Doo, Where Are You!",https://www.imdb.com/title/tt0063950/,TV Series,7.9,22,1969,"Animation, Adventure, Comedy, Family, Mystery",46069,1969-09-13,
44,tt3322312,2015-06-14,2015-06-14,,"Сорвиголова","Daredevil",https://www.imdb.com/title/tt3322312/,TV Series,8.6,60,2015,"Action, Crime, Drama, Sci-Fi, Thriller",516942,2015-04-10,
45,tt0455275,2013-03-18,2013-03-18,,"Побег","Prison Break",https://www.imdb.com/title/tt0455275/,TV Series,8.3,44,2005,"Action, Crime, Drama, Mystery, Thriller",647418,2005-08-29,
46,tt0412142,2013-03-18,2013-03-18,,"Доктор Хаус","House M.D.",https://www.imdb.com/title/tt0412142/,TV Series,8.7,45,2004,"Drama",576454,2004-11-16,
47,tt0108757,2013-03-18,2013-03-18,,"Скорая помощь","ER",https://www.imdb.com/title/tt0108757/,TV Series,7.9,44,1994,"Drama, Romance",74785,1997-02-06,
48,tt0898266,2013-03-18,2013-03-18,,"Теория большого взрыва","The Big Bang Theory",https://www.imdb.com/title/tt0898266/,TV Series,8.1,22,2007,"Comedy, Romance",922051,2007-09-24,
49,tt0121955,2013-03-18,2013-03-18,,"Южный парк","South Park",https://www.imdb.com/title/tt0121955/,TV Series,8.7,22,1997,"Animation, Comedy",435150,2000-06-21,
50,tt2802850,2015-06-15,2015-06-15,,"Фарго","Fargo",https://www.imdb.com/title/tt2802850/,TV Series,8.8,60,2014,"Crime, Drama, Thriller",453936,2014-04-15,
51,tt6156584,2021-03-19,2021-03-19,,"Сквозь снег","Snowpiercer",https://www.imdb.com/title/tt6156584/,TV Series,6.9,60,2020,"Action, Drama, Sci-Fi, Thriller",72831,2020-05-17,
52,tt0118276,2013-03-18,2013-03-18,,"Баффи - истребительница вампиров","Buffy the Vampire Slayer",https://www.imdb.com/title/tt0118276/,TV Series,8.3,45,1997,"Action, Adventure, Drama, Fantasy, Horror, Romance",171083,1997-03-10,
53,tt0105950,2013-03-18,2013-03-18,,"Бивис и Батт-Хед","Beavis and Butt-Head",https://www.imdb.com/title/tt0105950/,TV Series,7.5,15,1993,"Animation, Comedy, Music",35964,1993-03-08,
54,tt0118421,2013-03-18,2013-03-18,,"Тюрьма «ОZ»","Oz",https://www.imdb.com/title/tt0118421/,TV Series,8.7,60,1997,"Crime, Drama, Thriller",114442,1997-07-12,
55,tt0386676,2013-03-18,2013-03-18,,"Офис","The Office",https://www.imdb.com/title/tt0386676/,TV Series,9.0,22,2005,"Comedy",800440,2008-07-15,
56,tt0115167,2013-08-25,2013-08-25,,"Все любят Рэймонда","Everybody Loves Raymond",https://www.imdb.com/title/tt0115167/,TV Series,7.3,22,1996,"Comedy",81218,1996-09-13,
57,tt5607976,2021-01-24,2021-01-24,,"Тёмные начала","His Dark Materials",https://www.imdb.com/title/tt5607976/,TV Series,7.7,60,2019,"Adventure, Drama, Fantasy, Sci-Fi",92294,2019-11-03,
58,tt0374463,2021-01-24,2021-01-24,,"Тихий океан","The Pacific",https://www.imdb.com/title/tt0374463/,TV Mini Series,8.3,60,2010,"Action, Adventure, Drama, History, War",141034,2010-03-14,
59,tt0203259,2013-03-18,2013-03-18,,"Закон и порядок: Специальный корпус","Law & Order: Special Victims Unit",https://www.imdb.com/title/tt0203259/,TV Series,8.1,60,1999,"Crime, Drama, Mystery, Thriller",140931,1999-09-20,
60,tt2085059,2019-08-01,2019-08-01,,"Чёрное зеркало","Black Mirror",https://www.imdb.com/title/tt2085059/,TV Series,8.7,60,2011,"Crime, Drama, Mystery, Sci-Fi, Thriller",715425,2011-12-04,
61,tt0397306,2013-08-26,2013-08-26,,"Американский папаша","American Dad!",https://www.imdb.com/title/tt0397306/,TV Series,7.4,22,2005,"Animation, Comedy",142572,2009-10-18,
62,tt0348914,2013-03-18,2013-03-18,,"Дэдвуд","Deadwood",https://www.imdb.com/title/tt0348914/,TV Series,8.6,60,2004,"Crime, Drama, History, Western",126026,2004-03-21,
63,tt0165598,2013-08-26,2013-08-26,,"Шоу 70-х","That '70s Show",https://www.imdb.com/title/tt0165598/,TV Series,8.1,22,1998,"Comedy, Drama, Romance",196531,1998-08-23,
